63,63,63,21,21,21,63,33,33,0,26,26,26,26,26,0
63,21,21,21,21,21,21,33,33,0,26,0,0,0,26,0
19,19,19,21,19,19,63,33,33,0,26,4,4,4,26,0
63,63,20,20,20,20,20,33,33,0,26,4,4,4,26,0
63,53,20,20,20,53,20,50,33,0,26,4,4,4,26,0
63,63,63,63,63,63,63,33,33,0,26,0,0,0,0,0
63,63,53,53,63,53,63,33,33,0,0,0,0,0,0,0
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
17,17,17,17,17,17,3,33,33,29,29,18,29,18,18,18
17,17,17,18,28,3,3,33,32,19,19,19,19,19,19,18
17,17,18,28,18,3,3,33,32,19,19,19,19,18,19,18
17,17,17,17,17,3,3,33,32,19,19,62,62,62,62,18
17,17,18,18,18,3,3,33,33,19,19,62,62,62,62,18
17,17,18,28,18,3,3,33,33,18,19,18,62,62,62,18
17,17,17,17,18,3,3,33,33,19,19,19,19,62,62,62
